titles,link,article,time,media
藍議員挺綠 李鴻鈞替邱議瑩拉票,https://news.ltn.com.tw/news/local/paper/553960,"卻讓他立場更堅定。
李鴻鈞指出，上一屆立委選戰中，他爭取國民黨提名受阻，主要因素就是總統馬英九「屈服」於親民黨，提名吃親民黨奶水長大的鍾紹和代表泛藍競逐，讓在地方服務超過十五年的他相當不服氣，加上看不...",<generator object <genexpr> at 0x1191d9b88>,Liberal Times
今天，想一想,https://news.ltn.com.tw/news/opinion/paper/553926,"旦台灣淪為中國的一部分，軍公教的薪資、退休待遇會不會向中國的低水準看齊？
今天，想一想，馬英九稱所謂的「九二共識」締造台海和平，為什麼中國瞄準台灣的飛彈卻增加了？馬英九說「外交休兵」沒有製造麻...",<generator object <genexpr> at 0x1191d9c00>,Liberal Times
街頭巷戰 選將猛拜票狂掃街,https://news.ltn.com.tw/news/local/paper/553917,〔記者邱紹雯／台北報導〕選戰倒數時刻，台北市第五選區國民黨立委候選人林郁方請來總統馬英九、國民黨榮譽主席吳伯雄、台北市長郝龍斌及國民黨中常委連勝文等人輪番造勢，展現高人氣及政壇好人緣；民進黨立委候選人顏...,<generator object <genexpr> at 0x1192a0660>,Liberal Times
選情緊繃 簡余晏、羅淑蕾告急 感性催票,https://news.ltn.com.tw/news/local/paper/553916,"粉底白字「為權益，總動員」、「感謝相挺，簡余晏鞠躬」旗幟；羅淑蕾則在路邊懸掛紅底白字「支持馬英九，力挺羅淑蕾」布條。
羅淑蕾表示，在北松山眷村贏很大，中山區也領先對手，總統馬英九、立委蔣孝嚴及...",<generator object <genexpr> at 0x1192a06d8>,Liberal Times
馬輔選李慶華 羅福助支持者包圍,https://news.ltn.com.tw/news/local/paper/553913,"止區重演？
無黨籍立委候選人羅福助昨天發動大批支持者到汐止忠順廟「歡迎」國民黨總統候選人馬英九，穿著羅福助總部紅背心的支持者站滿大同路兩側；「羅福助凍蒜！」「馬英九凍蒜！」震天價響，馬英九...",<generator object <genexpr> at 0x1192a0750>,Liberal Times
南方朔疾呼︰台灣必須改變,https://news.ltn.com.tw/news/focus/paper/553904,"好談你的願景、談如何落實，這些大方向的，可是這些幾乎沒有，所以我就非常失望，不以為然。
馬英九在第一任贏這麼多，國會又有四分之三，可以做很多很多事情，而且阻力會是最小的，結果四年都沒有做出什麼事情出來...",<generator object <genexpr> at 0x1192a07c8>,Liberal Times
蔡︰馬沒政績 只會販賣恐懼,https://news.ltn.com.tw/news/focus/paper/553900,強調，台灣需要有打開胸襟、廣納人才、與人民對話的領導人，選蔡英文，就是選社會團結、和諧，選馬英九，就是繼續對抗分裂；選蔡英文就是政黨合作，選馬英九就是繼續一黨獨大、黨國不分；選蔡英文就是選清廉、...,<generator object <genexpr> at 0x1192a0840>,Liberal Times
軍公教子女要惜福,https://news.ltn.com.tw/news/opinion/paper/553893,"◎ 張尚義
這幾天，有幾位軍公教出來提醒，馬英九的終極統一，最後會讓軍公教的優渥待遇「歸零」，甚而「統一」之後遭到中國共產黨的政治清算。
或許，不少軍公教會認為，別擔心。是嗎？一九四九年之後，「投共...",<generator object <genexpr> at 0x1192a08b8>,Liberal Times
我還想養老 我不笨,https://news.ltn.com.tw/news/opinion/paper/553892,藍要好同仁辦理退休時，知道我是辦理月退，有天跑到我辦公室來對我說，你怎麼這麼傻、真沒眼光，馬英九當選總統了，阿扁總統把股票盪到九三○○點，馬英九執政了、股票他掛保證沒有兩萬點也保證有一萬五千點；...,<generator object <genexpr> at 0x1192a0930>,Liberal Times
不要換第一夫人 乾脆女人當總統,https://news.ltn.com.tw/news/opinion/paper/553888,"置空下來，表達對周美青的敬意。
第二，如果真正心疼周美青的辛勞，那更應該投給蔡英文，因為馬英九選輸後，周美青就可以好好的休息，不需要再東奔西跑的當她老公的救火隊。
第三，如果你覺得周美青是熱心公益的...",<generator object <genexpr> at 0x1192a09a8>,Liberal Times
台灣未來 不能賣 蔡籲選民 不要投買票的政黨、候選人,https://news.ltn.com.tw/news/focus/paper/553887,"中台灣是決戰點，也是買票最嚴重的地區，依照過去的紀錄，國民黨不只會買票，還曾經在花蓮作票，馬英九說要清廉政治，買票算乾淨嗎？
民進黨：中彰投以南賄選嚴重
民進黨發言人陳其邁說，中彰投、雲嘉南與高屏等...",<generator object <genexpr> at 0x1192a0a20>,Liberal Times
補助分藍綠 農委會被控變相賄選,https://news.ltn.com.tw/news/politics/paper/553881,"近核發合作農場、果菜生產合作社等二十萬到五十萬元的小型補助款，同時要求票投國民黨總統候選人馬英九，光雲林縣就撒下千萬元。
雲林縣副縣長施克和說，最近接到農民反映，農糧署像「人二系統」，自動將農場、合作...",<generator object <genexpr> at 0x1192a0a98>,Liberal Times
馬陷苦戰 美媒：貧富差距擴大,https://news.ltn.com.tw/news/politics/paper/553880,〔編譯陳成良／綜合報導〕台灣明天舉行總統大選，全球矚目，國際主要媒體普遍認為，尋求連任的馬英九與民進黨候選人蔡英文勢均力敵，甚至陷入苦戰，而經濟是這次大選的核心焦點。美國「基督教科學箴言報」甚至提到，由...,<generator object <genexpr> at 0x1192a0b10>,Liberal Times
周美青拜票 攤商嗆,https://news.ltn.com.tw/news/politics/paper/553877,姨新年快樂」！讓面帶倦容的酷酷嫂笑開懷。不過，她晚間到台南花園夜市時，一名男子在遠處高舉「馬英九昏庸無能下台」牌子，並高喊要馬下台，之後在友人勸說下離開；還有一位民眾在遠處以大聲公喊「蔡英文加油、凍蒜」...,<generator object <genexpr> at 0x1192a0b88>,Liberal Times
林瑞雄︰ 14日開票將翻盤,https://news.ltn.com.tw/news/politics/paper/553876,"講明白」。
林瑞雄表示，十四日開票結果將「翻盤」，他和宋楚瑜是唯一獲過半數選票的候選人，馬英九總統做得那麼差，應該拿不到三百萬票。
林瑞雄昨由親民黨籍高市議員吳益政陪同，參訪橋仔頭糖廠白屋文創園區，...",<generator object <genexpr> at 0x1192a0c00>,Liberal Times
吳敦義 暗諷李遠哲,https://news.ltn.com.tw/news/politics/paper/553875,前，一位去年獲諾貝爾獎的美國經濟學家來看他，第一句話就跟他說，「我們歐巴馬那匹馬如果像你們馬英九這匹馬這樣：經濟成長率這麼高，物價成長率那麼低，失業率降到四．二八，那躺著選也可當選」。...,<generator object <genexpr> at 0x1192a0c78>,Liberal Times
「最後關頭，還需大老來保你」 宋問馬︰怎不慚愧,https://news.ltn.com.tw/news/politics/paper/553872,人宋楚瑜昨深入藍營大票倉新北市中永和、新店傳統市場拜票，對國民黨榮譽主席連戰喊出集中選票投馬英九，宋楚瑜回應說，「馬總統，你不能讓大老安心，也不能讓台灣老百姓安心，到了選舉最後關頭，需要別人來保你，不覺...,<generator object <genexpr> at 0x1192a0cf0>,Liberal Times
台聯面臨最後一戰 懇請一戶一票搶救,https://news.ltn.com.tw/news/politics/paper/553871,車板、弱勢的代言人、民進黨的防腐劑。馬總統以假的九二共識和中國聯手打壓台灣，台聯站出來戳破馬英九的謊言，去法院控告馬英九叛國；過去幾年台聯幫助受到中國廉價品打擊的台灣傳統產業，也是聲援受害台商最...,<generator object <genexpr> at 0x11936e840>,Liberal Times
蔡︰勝選後主持國際記者會,https://news.ltn.com.tw/news/politics/paper/553869,"可能讓台灣面臨許多經濟、軍事和政治上的不確定性，這是台灣有風險的地方，必須非常注意。
對馬英九說多次邀請蔡英文都被拒絕，蔡英文說，一個總統如果要邀請在野黨主席對談，應主題明確，並經過幕僚作業，但馬總統...",<generator object <genexpr> at 0x11936e8b8>,Liberal Times
國際記者會 馬︰如果連任總統 訪中機會小,https://news.ltn.com.tw/news/politics/paper/553868,〔記者王寓中／台北報導〕國民黨總統候選人馬英九昨召開國際記者會，被問到若連任有無計畫訪問中國，馬表示，現在完全沒有訪問中國的計畫，目前看來機會也非常小，因為不論到哪裡，他都是中華民國總統，這個身分不能改...,<generator object <genexpr> at 0x11936e930>,Liberal Times
樂觀選情／馬︰我有信心 大家拭目以待,https://news.ltn.com.tw/news/politics/paper/553866,"氣氛也逐漸蔓延，尤其北市大遊行的成功，藍營內部不少人還樂觀預估，勝選票數「還要上修」！
馬英九昨天在國際記者會上信心滿滿表示，現在已經有很多的民眾了解，國家需要有處理經濟危機經驗、清廉正派、關懷弱勢、...",<generator object <genexpr> at 0x11936e9a8>,Liberal Times
馬回防雙北 進眷村感受溫暖,https://news.ltn.com.tw/news/politics/paper/553865,瑾、郭顏慧、潘杏惠／綜合報導〕選戰倒數計時，為鞏固基本盤，衝高北部投票率，國民黨總統候選人馬英九昨橫掃雙北眷村、國宅鐵票區；出席科技產業後援會時，馬推銷九二共識，強調兩岸開放「讓大家做生意做得很爽」，這...,<generator object <genexpr> at 0x11936ea20>,Liberal Times
收固樁費 三重11鄰長認罪,https://news.ltn.com.tw/news/politics/paper/553861,選總部發簡訊通知媒體，指「三重區光華里里長及數十位鄰長涉嫌買票，檢察官於新北調查處偵辦中，馬英九、李乾龍競選總部主委陳幸進現至新北市調查處施壓，高志鵬由議員陪同現至現場召開記者會」，隨後再發簡訊通知選民...,<generator object <genexpr> at 0x11936ea98>,Liberal Times
這一票，投給公平正義！,https://news.ltn.com.tw/news/opinion/paper/553841,"
不少政治觀察家認為，這是台灣一九九六年首度總統民選以來，朝野競爭最不公平的一次，國民黨馬英九陣營為保馬連任，不擇手段到了粗魯殘忍（宋楚瑜悲憤語）地步。
選戰最後，回首選戰，國民黨馬陣營是怎麼「對付...",<generator object <genexpr> at 0x11936eb10>,Liberal Times
藍估大選 馬吳可贏20萬票,https://news.ltn.com.tw/news/local/paper/553829,"和姑姑、姑丈們組成「娘家助選團」，為陳學聖拉票。
晚上，副總統蕭萬長也到桃園縣拜票，推崇馬英九總統清廉，也到平鎮市為呂玉玲站台，再趕到中壢市陳學聖總部助陣，希望都能高票當選。
宋楚瑜陪劉文雄拜票
...",<generator object <genexpr> at 0x11936eb88>,Liberal Times
綠拚勝選 期落後10萬票內,https://news.ltn.com.tw/news/local/paper/553828,"有違行政中立原則才會派人拆除。
清潔隊打開倉庫供檢視，裡頭堆放有彭添富、呂玉玲、蔡英文、馬英九等人的旗幟。...",<generator object <genexpr> at 0x11936ec00>,Liberal Times
台中造勢場超人氣 8選將同台喊8仙過海,https://news.ltn.com.tw/news/local/paper/553812,民黨一黨獨大，才無法發揮監督效能，要發揮國會效能，一月十四日就要讓民進黨提名的立委過半。而馬英九只會用九二共識恐嚇人民，用台獨恐嚇北京，總統大選，一定要換掉無能的總統，讓蔡英文當選。...,<generator object <genexpr> at 0x11936ec78>,Liberal Times
彰化拚綠地 小英催票 拉攏傳統產業,https://news.ltn.com.tw/news/local/paper/553810,"
蔡英文感冒沙啞的聲音也引起很多支持者不捨，有人說，至少要再拉五票；也有人說，總統若還是馬英九，移民算了，避免有一天變成中國殖民地；溪州鄉長黃盛祿說，蔡英文若落選，以後他會慢慢淡出政治，沒什麼意義了。...",<generator object <genexpr> at 0x11936ecf0>,Liberal Times
固票 吳敦義拉抬黨籍選將,https://news.ltn.com.tw/news/local/paper/553807,"嘉義縣競選總部主委黃文章等人站台，現場湧入十八鄉鎮市數千位支持者搖旗吶喊。 
黃文章稱許馬英九開放兩岸直航，方便台商返鄉；陸客來台，讓阿里山攤商以及遊覽車業者賺到錢；中國領導人胡錦濤宣稱沒有九二共識，...",<generator object <genexpr> at 0x11936ed68>,Liberal Times
中彰環團要求撤銷2火力電廠開發案,https://news.ltn.com.tw/news/life/paper/553754,"準，比六輕的污染還嚴重。
綠黨批政府玩兩面手法
綠黨西屯、南屯區立委候選人蔡智豪也說，馬英九總統去年四月承諾進行細懸浮微粒總量管制，據學者研究，台灣若要達到ＷＨＯ的標準，污染源必須減少七十％，相當於...",<generator object <genexpr> at 0x11936ede0>,Liberal Times
總統大選》宋闖藍營票倉　批藍「近親繁殖」,https://news.ltn.com.tw/news/politics/breakingnews/592022,候選人林瑞雄今天在高雄市橋頭糖廠拜票時，除了信心滿滿的認為宋林2人一定會當選，也大膽預估，馬英九的無能執政，將使得票率不超過3百萬票，進而敗選。...,<generator object <genexpr> at 0x11936ee58>,Liberal Times
網友KUSO　馬蔡宋變「送酒菜樂團」,https://news.ltn.com.tw/news/politics/breakingnews/591998,"合成照中，3人被套進台灣知名的飛兒樂團專輯封面，宋楚瑜是吉他手阿沁，蔡英文則是女主唱飛兒，馬英九被合成建寧老師，此圖一出，在網路上被瘋狂轉載，許多網友大呼，「農曆過年就是要聽送酒菜樂團。」

　事實...",<generator object <genexpr> at 0x11936eed0>,Liberal Times
總統大選》批馬政績差　宋楚瑜籲換人做,https://news.ltn.com.tw/news/politics/breakingnews/591899,，30多年前，經國先生在桃園做了中正機場，當時是全亞洲最漂亮的機場，但是，愛台十二項建設，馬英九總統花了4兆，看看現在南崁交流道每天大塞車，桃園機場屋頂漏水，跑道還有洞，運行李的車還把飛機撞了個洞，這是...,<generator object <genexpr> at 0x11943ced0>,Liberal Times
總統大選》大批羅福助支持者　包圍馬英九車隊,https://news.ltn.com.tw/news/politics/breakingnews/591898,〔記者俞肇福、楊培華／新北報導〕國民黨總統候選人馬英九今天下午要到新北市汐止區忠順廟幫黨籍立委候選人李慶華站台助講；車隊在大同路二段遭到無黨籍候選人羅福助動員而來的支持者團團包圍，大同路兩旁站滿羅福助支...,<generator object <genexpr> at 0x11943cf48>,Liberal Times
總統大選》周美青基隆掃街　攤商怨無法做生意,https://news.ltn.com.tw/news/politics/breakingnews/591815,"都不用做生意了。

　由於七堵選出的國民黨籍市議員張耿輝這次脫黨參選立委，國民黨繼昨天馬英九、吳敦義先後掃街拜票外，今天一早被視為吸票機的「酷酷嫂」周美青到七堵陪同謝國樑向商家、民眾握手請託。
...",<generator object <genexpr> at 0x11943f048>,Liberal Times
總統大選》老百姓挺小英布條　獲熱烈迴響,https://news.ltn.com.tw/news/politics/breakingnews/591748,"紛紛表達意見，還有人說這是「一針見血。」

　日前財團大老闆一個個跳出來，表態力挺總統馬英九，許多網友認為，這是因為大老闆利益與馬政府一致，但小老百姓薪水不升反降，物價卻步步高升，而馬英九上...",<generator object <genexpr> at 0x11943f0c0>,Liberal Times
總統大選》竹縣拜票　蘇嘉全預期客家票大幅成長,https://news.ltn.com.tw/news/politics/breakingnews/591735,"全說，他充分感受到客家鄉親的熱情，也預期這次民進黨的客家票會大幅成長。

　蘇嘉全說，馬英九政府在許多客家方面的政見和應該做給客家庄的建設都跳票，例如客家廣播電台和客家預算成長都沒做到，這讓客家鄉親...",<generator object <genexpr> at 0x11943f138>,Liberal Times
總統大選》4年做不好　宋批馬不覺慚愧嗎？,https://news.ltn.com.tw/news/politics/breakingnews/591733,〔即時新聞／綜合報導〕選戰倒數關鍵時刻，國民黨榮譽主席連戰昨天公開表態支持總統馬英九外，也向昔日戰友、親民黨總統候選人宋楚瑜溫情喊話。對此，宋楚瑜今天批評，馬英九做了4年總統卻做不好，「還要大老...,<generator object <genexpr> at 0x11943f1b0>,Liberal Times
總統大選》網友KUSO改圖　蔡英文超萌,https://news.ltn.com.tw/news/politics/breakingnews/591654,"就是團體，不是敵人了。」

　網友認為，改變造型的3人可以組成樂團，由蔡英文擔任主唱，馬英九為吉他手，宋楚瑜則為貝斯手，而這個新團體將在1月14日發表，網友表示，這一團男帥女美，簡直是夢幻偶像團體，...",<generator object <genexpr> at 0x11943f228>,Liberal Times
今日各報重點新聞一覽,https://news.ltn.com.tw/news/politics/breakingnews/591648,"進行全台瘋狂掃街拜票。

選情拉鋸 馬蔡決勝中台灣
總統大選選情白熱化，國民黨候選人馬英九昨「馬不停蹄」，1天27個行程跑遍東北角；民進黨候選人蔡英文昨到苗栗、新竹地毯式車隊掃街，晚上出席選前高雄...",<generator object <genexpr> at 0x11943f2a0>,Liberal Times
大聯合政府讚,https://news.ltn.com.tw/news/opinion/paper/553742,"蔡英文拋出大聯合政府主張，顯然讓馬英九感到驚訝莫名，氣急敗壞，因此全黨上下對這個選舉以來最有牛肉的政見，展開情緒性的攻擊，可見此舉已經打中馬陣營的要害。
前副總統連戰甚至跳出來當急先鋒，批判此舉違憲，...",<generator object <genexpr> at 0x11943f318>,Liberal Times
3總統選將「個性劍獅」小英築夢實事求是,https://news.ltn.com.tw/news/local/paper/553738,"目的是，對應農曆生日的「劍獅守護神」。昨日業者公開這項規劃近一年的商品，並挑出包括蔡英文、馬英九、宋楚瑜三位總統候選人的對應劍獅、分析每個人的個性。
馬保守秘密 宋沈默銳利
其中一號蔡英文，依個性分...",<generator object <genexpr> at 0x11943f390>,Liberal Times
《緊咬媽祖園區》楊曜批縣長浪費公帑,https://news.ltn.com.tw/news/local/paper/553732,"。
至於王乾發請假輔選期間，借用縣府會議室，邀集縣府各科處人員，公開要脅公務人員支持總統馬英九與無黨籍立委候選人林炳坤，簡余晏痛批國民黨運用行政資源、動員國營單位參加造勢晚會、還公然要脅公務人員投票意...",<generator object <genexpr> at 0x11943f408>,Liberal Times
催票總動員 綠議員促力保5席全上,https://news.ltn.com.tw/news/local/paper/553729,"及台北—花蓮八班次，都偏藍營票倉，他籲請台鐵應給學生返鄉投票優惠。
李文正與陳進益表示，馬英九「執政無能、投共萬能」，台灣經濟下滑，民眾手中的一票，同時影響子孫未來和台灣前途。
台鐵︰選舉加班車 運...",<generator object <genexpr> at 0x11943f480>,Liberal Times
阿伯舉旗 批「馬」無能,https://news.ltn.com.tw/news/local/paper/553723,一名老伯伯不滿馬政府的無府，在一塊白布寫上黑字「打倒無能的馬英九」，高舉白布進入會場，十分吸睛，他不說一句話，冷冷地看著鏡頭，似乎對馬英九發出「無言的抗議」。（圖文：記者黃良傑）...,<generator object <genexpr> at 0x11943f4f8>,Liberal Times
屏東大團結 綠拚立委衝衝衝,https://news.ltn.com.tw/news/local/paper/553722,立委候選人曾智勇、李世斌、蘇震清及潘孟安，現場「衝！衝！衝！」招牌口號響徹夜空，蘇貞昌抨擊馬英九執政四年，內政敗壞、外交休克、軍紀廢弛，不但要讓馬英九下台，國會也要過半，希望屏東鄉親共同來牽成，...,<generator object <genexpr> at 0x11943f570>,Liberal Times
投給台灣 就對了,https://news.ltn.com.tw/news/opinion/paper/553695,共產黨比較具有打交道的經驗，因此可以穩定台海情勢。但事實是，蔣介石與蔣經國才有資格這樣說，馬英九領導的國民黨完全不是這麼回事，甚至它們的「丐幫」行為，已經徹底搞壞了兩國關係。試想：如果國民黨大員在中國被...,<generator object <genexpr> at 0x11943f5e8>,Liberal Times
藍綠爭吃橘 李建昌蔡正元搶攻黃珊珊票源,https://news.ltn.com.tw/news/local/paper/553683,四選區藍綠雙強蔡正元、李建昌拚得難分難解，雙方不約而同想要搶攻橘營黃珊珊的選票，蔡正元力邀馬英九、郝龍斌深入眷村鐵票區，盼泛藍選票「鮭魚回流」；李建昌指對手「大藍小藍都是藍」，唯有支持李建昌才會力挺蔡英...,<generator object <genexpr> at 0x119508f48>,Liberal Times
粗暴阻拜票？ 何博文控訴 警防堵過當,https://news.ltn.com.tw/news/local/paper/553680,"婷／綜合報導〕民進黨新北市立委候選人何博文昨指控，其妻邱槿桉前天早上欲往林口市場拜票，卻因馬英九總統同時前往，隨遭員警暴力相向，阻止他們進入市場。何博文痛斥，難道台灣又重回警察國家、白色恐怖時代？
何...",<generator object <genexpr> at 0x11950d048>,Liberal Times
黃昆輝：挺台商 就投蔡,https://news.ltn.com.tw/news/focus/paper/553669,〔記者李欣芳／台北報導〕近來多位企業界人士表態挺九二共識，支持國民黨候選人馬英九連任。台聯黨主席黃昆輝昨與台灣投資中國受害者協會等台商召開記者會，呼籲台灣人真正挺台商，就要把票投給民進黨候選人蔡英文。...,<generator object <genexpr> at 0x11950d0c0>,Liberal Times
駁九二共識 學者：馬恐嚇性語言,https://news.ltn.com.tw/news/focus/paper/553668,〔記者王孟倫／台北報導〕新台灣國策智庫昨天舉行座談會，與會多位學者指出，在二○○八年總統馬英九上任之前，兩岸經貿並無「九二共識」，雙方關係仍快速發展，換言之，所謂「沒有九二共識、兩岸關係會倒退」，不僅是...,<generator object <genexpr> at 0x11950d138>,Liberal Times
蔡：再次政黨輪替 走向真正民主,https://news.ltn.com.tw/news/focus/paper/553667,"停滯，「為了台灣，為了台灣人，什麼都可以談，只要是好的人才，我們都可以納入政府。」
針對馬英九打出安定牌，她批評，馬政府三年來沒政績，經濟衰退、幸福不再，而安定是每個人有頭路、有收入，政府公平對待每位...",<generator object <genexpr> at 0x11950d1b0>,Liberal Times
【冷眼冷語】,https://news.ltn.com.tw/news/opinion/paper/553662,"他之所以關心台灣各項建設，是因為國民黨政府爛到不像話，看不下去了。鄭愁予難道以為每個人都像馬英九，從小立志當總統，明明超過自己的能力，把台灣搞爛也不顧，也還要再連任？ （沈政男，醫師 ）
只有財團ㄟ擱...",<generator object <genexpr> at 0x11950d228>,Liberal Times
我對國民黨忍無可忍了,https://news.ltn.com.tw/news/opinion/paper/553660,代表及奸商的手上，而造成官員腰纏萬貫，坐擁豪宅，但卻由國民來增加納稅，承擔國家財富的損失。馬英九執政後，借西進之名，更大量貸款奸商，讓產業移入中國，債留台灣，目前國民每人要負擔國債八十萬。國民黨官商勾結...,<generator object <genexpr> at 0x11950d2a0>,Liberal Times
台灣共產 軍公教最慘,https://news.ltn.com.tw/news/opinion/paper/553656,"及義舉。
公務人員薪水既然來自稅收，公務人員應該支持能讓台灣稅收穩定成長之總統候選人。而馬英九（國民黨）之傾中政策造成台商大舉轉進中國投資，企業跑到中國繳稅、在台灣之上班族薪資不增反減甚至失業者增加，...",<generator object <genexpr> at 0x11950d318>,Liberal Times
新埔遠化投票只給2小時？ 引抗議,https://news.ltn.com.tw/news/politics/paper/553645,"何況住在外地的同事。
羅美文接獲投訴，於昨下午到遠化新埔廠大門前拉起「財團徐董可見吳淑珍馬英九，卻不准勞工好好投一張票」的布條抗議，羅美文說，遠東集團董事長徐旭東向藍傾斜，新竹縣又藍大綠小，在地者有機...",<generator object <genexpr> at 0x11950d390>,Liberal Times
台南街友餐會發馬平安符 賴清德：不尊重出席者,https://news.ltn.com.tw/news/politics/paper/553644,"間國民黨議員林燕祝的公關主任嚴清吉逐桌發送「平安符」，一面是國旗，另一面印有「台灣平安總統馬英九敬贈」字樣，引起爭議。
主辦單位說，他們的餐會謝絕任何與選舉有關的文宣，出席者致詞也希望不涉及選舉；工作...",<generator object <genexpr> at 0x11950d408>,Liberal Times
台北大造勢 宋疾呼支持者歸隊,https://news.ltn.com.tw/news/politics/paper/553636,像他在反對九二共識，但二○○五年他登陸簽署「胡宋公報」，就清楚寫著台灣必須受公平尊重；反觀馬英九和蔡英文沒有和胡錦濤談判，沒有在中國展現風骨與不屈不撓的志氣，這次他的參選，就是要對岸了解台灣人的骨氣，絕...,<generator object <genexpr> at 0x11950d480>,Liberal Times
